step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
82,baseline,5.67,0.38,0.53,0.5767441860465117,0.43,0.0,5.771527067885127,0.91,17.0,0.014250000000000002,0.255,0.3,0.195,0.25
83,baseline,6.09,0.32999999999999996,0.61,0.5800865800865801,0.4,0.0,5.835221654308101,0.97,20.0,0.01355,0.22,0.3,0.3,0.18
84,baseline,5.865,0.36,0.535,0.5517241379310345,0.39,0.0,5.84117732344648,1.04,21.0,0.014750000000000004,0.27,0.245,0.245,0.24
85,baseline,6.04,0.33999999999999997,0.56,0.5258964143426295,0.38,0.0,5.880941858757185,1.19,27.0,0.0146,0.185,0.24,0.27,0.305
86,baseline,6.315,0.31499999999999995,0.535,0.5591836734693878,0.33,0.0,5.967753487005748,1.08,25.0,0.01425,0.29,0.195,0.26,0.255
87,baseline,6.21,0.32999999999999996,0.49,0.6320754716981132,0.33,0.0,6.016202789604599,0.78,33.0,0.014450000000000001,0.3,0.22,0.27,0.21
88,baseline,5.87,0.36,0.53,0.5953488372093023,0.35,0.0,5.986962231683679,0.87,19.0,0.0135,0.28,0.29,0.225,0.205
89,baseline,6.105,0.33999999999999997,0.495,0.5689655172413793,0.37,0.0,6.010569785346944,1.0,16.0,0.013800000000000002,0.23,0.24,0.305,0.225
90,baseline,5.505,0.4,0.495,0.5529953917050692,0.41,0.0,5.909455828277555,0.97,26.0,0.015050000000000003,0.265,0.245,0.29,0.2
91,baseline,6.165,0.33499999999999996,0.485,0.588495575221239,0.39,0.0,5.960564662622045,0.93,25.0,0.014249999999999999,0.28,0.28,0.255,0.185
92,baseline,6.085,0.32999999999999996,0.615,0.5654008438818565,0.36,0.0,5.985451730097635,1.03,26.0,0.0143,0.21,0.325,0.26,0.205
93,baseline,5.51,0.39,0.59,0.4899598393574297,0.35,0.0,5.890361384078108,1.27,15.0,0.014349999999999998,0.25,0.2,0.315,0.235
94,baseline,6.49,0.29500000000000004,0.56,0.5826446280991735,0.34,0.0,6.010289107262488,1.01,42.0,0.01355,0.265,0.21,0.295,0.23
95,baseline,5.84,0.355,0.61,0.5536480686695279,0.34,0.0,5.97623128580999,1.04,29.0,0.01595,0.255,0.225,0.25,0.27
96,baseline,5.92,0.355,0.53,0.5466101694915254,0.37,0.0,5.964985028647992,1.07,23.0,0.0153,0.215,0.23,0.29,0.265
97,baseline,5.995,0.345,0.555,0.5981735159817352,0.33,0.0,5.970988022918394,0.88,33.0,0.01405,0.295,0.235,0.25,0.22
98,baseline,5.91,0.355,0.54,0.6084905660377359,0.4,0.0,5.958790418334716,0.83,22.0,0.014400000000000003,0.255,0.23,0.265,0.25
99,baseline,5.95,0.345,0.6,0.6517412935323383,0.35,0.0,5.957032334667773,0.7,20.0,0.014400000000000001,0.25,0.295,0.24,0.215
100,baseline,5.205,0.42500000000000004,0.545,0.5897435897435898,0.42,0.0,5.806625867734219,0.8,15.0,0.01405,0.285,0.185,0.28,0.25
101,baseline,6.12,0.32999999999999996,0.58,0.6036036036036037,0.37,0.0,5.869300694187375,0.88,18.0,0.014450000000000001,0.27,0.22,0.275,0.235
102,baseline,4.74,0.475,0.51,0.5048076923076923,0.43,0.0,5.6434405553499,1.03,16.0,0.015850000000000003,0.235,0.29,0.245,0.23
103,baseline,5.425,0.4,0.575,0.5240174672489083,0.38,0.0,5.59975244427992,1.09,25.0,0.01455,0.225,0.21,0.305,0.26
104,baseline,5.85,0.36,0.55,0.5871559633027523,0.38,0.0,5.6498019554239365,0.9,37.0,0.013600000000000001,0.235,0.235,0.245,0.285
105,baseline,6.18,0.32499999999999996,0.57,0.5947136563876652,0.33,0.0,5.755841564339148,0.92,21.0,0.014549999999999999,0.24,0.27,0.25,0.24
106,baseline,6.15,0.33499999999999996,0.5,0.5683760683760684,0.35,0.0,5.83467325147132,1.01,19.0,0.014499999999999999,0.275,0.21,0.31,0.205
107,baseline,6.33,0.31499999999999995,0.52,0.631336405529954,0.29,0.0,5.933738601177056,0.8,25.0,0.014600000000000002,0.27,0.24,0.295,0.195
108,baseline,5.44,0.4,0.56,0.594059405940594,0.38,0.0,5.834990880941645,0.82,27.0,0.014650000000000003,0.23,0.23,0.3,0.24
109,baseline,5.365,0.41000000000000003,0.535,0.5645933014354066,0.38,0.0,5.740992704753316,0.91,20.0,0.014500000000000002,0.29,0.185,0.27,0.255
110,baseline,5.245,0.42000000000000004,0.555,0.5829145728643216,0.43,0.0,5.641794163802654,0.83,16.0,0.01385,0.295,0.245,0.25,0.21
111,baseline,5.62,0.385,0.53,0.6243654822335025,0.4,0.0,5.637435331042123,0.74,22.0,0.014450000000000001,0.345,0.26,0.2,0.195
112,baseline,5.56,0.39,0.54,0.6161616161616161,0.39,0.0,5.621948264833698,0.76,21.0,0.014900000000000002,0.325,0.185,0.29,0.2
113,baseline,5.495,0.4,0.505,0.5405405405405406,0.36,0.0,5.596558611866959,1.02,13.0,0.0148,0.34,0.2,0.255,0.205
