step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
58,supply_adjusted,6.145,0.31999999999999995,0.655,0.6699507389162561,0.37,0.6149999999999999,5.862716290101851,0.67,10.0,0.0142,0.245,0.245,0.23,0.28
59,supply_adjusted,5.75,0.365,0.6,0.6479591836734694,0.43,0.5168181818181818,5.840173032081481,0.69,12.0,0.013650000000000002,0.225,0.255,0.27,0.25
60,supply_adjusted,5.62,0.375,0.63,0.6127450980392157,0.43,0.47,5.796138425665186,0.79,13.0,0.014850000000000002,0.255,0.2,0.28,0.265
61,supply_adjusted,6.11,0.32999999999999996,0.59,0.6146788990825688,0.4,0.48500000000000015,5.858910740532147,0.84,13.0,0.0142,0.33,0.2,0.26,0.21
62,supply_adjusted,5.95,0.33999999999999997,0.65,0.6567164179104478,0.37,0.571,5.87712859242572,0.69,24.0,0.013850000000000001,0.24,0.25,0.25,0.26
63,supply_adjusted,5.8,0.365,0.55,0.6827956989247311,0.39,0.3789473684210526,5.861702873940575,0.59,17.0,0.01575,0.27,0.18,0.28,0.27
64,supply_adjusted,5.765,0.365,0.585,0.6446700507614214,0.37,0.586086956521739,5.84236229915246,0.7,13.0,0.0146,0.27,0.255,0.235,0.24
65,supply_adjusted,6.07,0.33499999999999996,0.58,0.6363636363636364,0.34,0.5623529411764706,5.88788983932197,0.76,8.0,0.014550000000000004,0.26,0.225,0.28,0.235
66,supply_adjusted,6.585,0.28,0.615,0.6206896551724138,0.31,0.5208695652173913,6.0273118714575755,0.88,10.0,0.014100000000000001,0.24,0.265,0.28,0.215
67,supply_adjusted,6.345,0.30500000000000005,0.605,0.6205357142857143,0.33,0.5399999999999999,6.090849497166059,0.85,12.0,0.0149,0.265,0.235,0.28,0.22
68,supply_adjusted,5.75,0.365,0.6,0.6047619047619047,0.4,0.48357142857142854,6.022679597732848,0.83,19.0,0.014400000000000001,0.305,0.17,0.235,0.29
69,supply_adjusted,5.64,0.38,0.56,0.6231155778894473,0.47,0.42363636363636376,5.946143678186279,0.75,17.0,0.014100000000000001,0.24,0.205,0.265,0.29
70,supply_adjusted,5.955,0.345,0.595,0.5981735159817352,0.4,0.40090909090909094,5.947914942549023,0.88,19.0,0.01425,0.255,0.265,0.245,0.235
71,supply_adjusted,6.2,0.32499999999999996,0.55,0.6398104265402843,0.39,0.4533333333333333,5.998331954039219,0.76,18.0,0.01325,0.225,0.22,0.24,0.315
72,supply_adjusted,6.17,0.31499999999999995,0.68,0.6462264150943396,0.33,0.4204347826086956,6.032665563231376,0.75,19.0,0.018050000000000004,0.26,0.245,0.21,0.285
73,supply_adjusted,5.71,0.365,0.64,0.625615763546798,0.36,0.631470588235294,5.9681324505851014,0.76,16.0,0.014650000000000002,0.275,0.225,0.21,0.29
74,supply_adjusted,6.015,0.33999999999999997,0.585,0.6407766990291263,0.35,0.5770000000000001,5.977505960468079,0.74,18.0,0.0158,0.28,0.21,0.25,0.26
75,supply_adjusted,6.01,0.345,0.54,0.6121495327102804,0.37,0.5105263157894737,5.984004768374464,0.83,16.0,0.0151,0.28,0.205,0.245,0.27
76,supply_adjusted,6.04,0.33499999999999996,0.61,0.6073059360730594,0.39,0.6296,5.995203814699572,0.86,19.0,0.015850000000000003,0.27,0.27,0.215,0.245
77,supply_adjusted,5.945,0.345,0.605,0.5981735159817352,0.38,0.5104347826086957,5.985163051759657,0.88,22.0,0.015400000000000002,0.265,0.245,0.2,0.29
78,supply_adjusted,6.285,0.31499999999999995,0.565,0.6035242290748899,0.36,0.4472727272727272,6.045130441407728,0.9,18.0,0.014750000000000003,0.28,0.25,0.21,0.26
79,supply_adjusted,5.65,0.38,0.55,0.6492146596858639,0.44,0.5105555555555557,5.96610435312618,0.67,27.0,0.01375,0.265,0.165,0.305,0.265
80,supply_adjusted,6.02,0.33999999999999997,0.58,0.6839378238341969,0.43,0.3884210526315789,5.976883482500946,0.61,19.0,0.013450000000000002,0.28,0.18,0.24,0.3
81,supply_adjusted,6.38,0.30500000000000005,0.57,0.6495327102803738,0.36,0.5136842105263159,6.057506786000756,0.75,9.0,0.014400000000000003,0.25,0.24,0.255,0.255
82,supply_adjusted,6.125,0.32499999999999996,0.625,0.6553398058252428,0.36,0.49956521739130433,6.071005428800606,0.71,12.0,0.014800000000000004,0.245,0.3,0.18,0.275
83,supply_adjusted,5.02,0.43500000000000005,0.63,0.6141304347826086,0.45,0.5495833333333333,5.860804343040485,0.71,22.0,0.015100000000000002,0.295,0.18,0.275,0.25
84,supply_adjusted,6.025,0.33499999999999996,0.625,0.6129032258064516,0.42,0.5126086956521739,5.893643474432388,0.84,16.0,0.013649999999999999,0.26,0.24,0.255,0.245
85,supply_adjusted,6.075,0.33499999999999996,0.575,0.5659574468085107,0.39,0.5242105263157896,5.9299147795459115,1.02,10.0,0.01525,0.24,0.25,0.255,0.255
86,supply_adjusted,6.21,0.31000000000000005,0.69,0.641860465116279,0.4,0.6163636363636362,5.985931823636729,0.77,28.0,0.014700000000000001,0.255,0.19,0.265,0.29
87,supply_adjusted,5.835,0.35,0.665,0.680628272251309,0.37,0.48913043478260865,5.955745458909382,0.61,20.0,0.01525,0.19,0.28,0.285,0.245
88,supply_adjusted,5.53,0.39,0.57,0.6256410256410256,0.47,0.5177272727272727,5.870596367127507,0.73,10.0,0.0144,0.255,0.265,0.225,0.255
89,supply_adjusted,4.94,0.44499999999999995,0.61,0.5904255319148937,0.46,0.5342857142857143,5.6844770937020055,0.77,19.0,0.015550000000000003,0.235,0.26,0.255,0.25
90,supply_adjusted,6.47,0.29500000000000004,0.58,0.6527777777777778,0.36,0.48449999999999993,5.8415816749616045,0.75,14.0,0.015399999999999999,0.29,0.205,0.265,0.24
91,supply_adjusted,5.92,0.345,0.63,0.6752577319587629,0.42,0.6068181818181818,5.857265339969283,0.63,22.0,0.014100000000000001,0.255,0.28,0.235,0.23
92,supply_adjusted,6.29,0.31499999999999995,0.56,0.6682926829268293,0.4,0.5059999999999999,5.943812271975428,0.68,12.0,0.01465,0.27,0.185,0.315,0.23
93,supply_adjusted,6.455,0.29000000000000004,0.645,0.6513761467889908,0.32,0.5609523809523809,6.046049817580342,0.76,10.0,0.014450000000000001,0.275,0.265,0.275,0.185
94,supply_adjusted,5.44,0.4,0.56,0.6091370558375635,0.4,0.47125,5.924839854064273,0.77,13.0,0.01515,0.29,0.21,0.265,0.235
95,supply_adjusted,5.615,0.375,0.635,0.6188118811881188,0.4,0.6696551724137931,5.862871883251419,0.77,15.0,0.0143,0.255,0.185,0.305,0.255
96,supply_adjusted,5.9,0.35,0.6,0.6103286384976526,0.41,0.48200000000000004,5.870297506601137,0.83,15.0,0.014700000000000001,0.275,0.24,0.23,0.255
97,supply_adjusted,6.18,0.31999999999999995,0.62,0.6384976525821596,0.39,0.4395454545454545,5.932238005280909,0.77,24.0,0.015449999999999998,0.29,0.24,0.2,0.27
