step,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
92,6.035,0.345,0.515,0.5670995670995671,0.34,5.866294806588229,1.0,23.0,0.01595,0.305,0.235,0.245,0.215
93,5.7,0.375,0.55,0.5555555555555556,0.39,5.833035845270583,1.0,22.0,0.0138,0.275,0.225,0.28,0.22
94,4.92,0.45499999999999996,0.53,0.5706806282722513,0.44,5.650428676216467,0.82,30.0,0.0142,0.28,0.245,0.225,0.25
95,5.4,0.41000000000000003,0.5,0.592964824120603,0.4,5.6003429409731735,0.81,29.0,0.0141,0.27,0.225,0.285,0.22
96,6.16,0.33499999999999996,0.49,0.5757575757575758,0.38,5.71227435277854,0.98,16.0,0.013750000000000002,0.32,0.185,0.285,0.21
97,5.68,0.38,0.52,0.5367965367965368,0.36,5.705819482222831,1.07,22.0,0.014949999999999998,0.26,0.23,0.275,0.235
98,5.565,0.4,0.435,0.5581395348837209,0.37,5.677655585778266,0.95,32.0,0.01405,0.26,0.215,0.28,0.245
99,6.255,0.32999999999999996,0.445,0.6232558139534884,0.35,5.793124468622612,0.81,26.0,0.013850000000000001,0.305,0.21,0.275,0.21
100,5.585,0.39,0.515,0.6524064171122995,0.45,5.751499574898089,0.65,20.0,0.013850000000000003,0.325,0.21,0.225,0.24
101,5.765,0.365,0.585,0.6318407960199005,0.4,5.754199659918473,0.74,18.0,0.0144,0.25,0.245,0.27,0.235
102,6.035,0.345,0.515,0.5927601809954751,0.37,5.810359727934777,0.9,14.0,0.013750000000000002,0.29,0.23,0.235,0.245
103,5.03,0.43999999999999995,0.57,0.5333333333333333,0.39,5.654287782347823,0.98,19.0,0.0147,0.27,0.285,0.25,0.195
104,5.065,0.43999999999999995,0.535,0.5358851674641149,0.43,5.5364302258782585,0.97,21.0,0.013349999999999999,0.285,0.255,0.27,0.19
105,6.01,0.35,0.49,0.5676855895196506,0.41,5.631144180702607,0.99,25.0,0.013500000000000002,0.285,0.28,0.24,0.195
106,5.88,0.36,0.52,0.5953488372093023,0.36,5.680915344562086,0.87,29.0,0.014249999999999999,0.285,0.215,0.27,0.23
107,5.985,0.345,0.565,0.6267942583732058,0.38,5.741732275649668,0.78,23.0,0.013800000000000002,0.305,0.225,0.255,0.215
108,6.055,0.345,0.495,0.6009174311926605,0.36,5.804385820519736,0.87,14.0,0.014349999999999998,0.285,0.215,0.215,0.285
109,5.52,0.395,0.53,0.5707547169811321,0.4,5.747508656415788,0.91,17.0,0.01365,0.3,0.22,0.285,0.195
110,6.24,0.32499999999999996,0.51,0.5844155844155844,0.44,5.846006925132631,0.96,26.0,0.013,0.3,0.21,0.26,0.23
111,7.185,0.235,0.465,0.5884615384615385,0.24,6.113805540106105,1.07,23.0,0.014,0.315,0.21,0.24,0.235
112,5.95,0.355,0.5,0.5536480686695279,0.41,6.081044432084884,1.04,27.0,0.014299999999999998,0.3,0.235,0.305,0.16
113,6.695,0.28,0.505,0.6050420168067226,0.37,6.203835545667907,0.94,29.0,0.01405,0.295,0.265,0.255,0.185
114,5.865,0.365,0.485,0.5934579439252337,0.42,6.136068436534327,0.87,29.0,0.01405,0.285,0.24,0.25,0.225
115,5.725,0.37,0.575,0.6237623762376238,0.42,6.053854749227462,0.76,17.0,0.01395,0.265,0.26,0.315,0.16
116,5.29,0.42000000000000004,0.51,0.6236559139784946,0.46,5.90108379938197,0.7,21.0,0.0144,0.26,0.25,0.255,0.235
117,5.41,0.41000000000000003,0.49,0.5756097560975609,0.44,5.802867039505576,0.87,18.0,0.01325,0.285,0.21,0.25,0.255
118,6.13,0.33499999999999996,0.52,0.588495575221239,0.35,5.86829363160446,0.93,14.0,0.013849999999999998,0.3,0.195,0.27,0.235
119,5.62,0.385,0.53,0.5668202764976958,0.43,5.818634905283569,0.94,25.0,0.014450000000000001,0.33,0.25,0.225,0.195
120,6.3,0.32499999999999996,0.45,0.5973451327433629,0.42,5.9149079242268545,0.91,16.0,0.013150000000000002,0.295,0.195,0.295,0.215
121,5.095,0.43999999999999995,0.505,0.5773195876288659,0.46,5.750926339381485,0.82,25.0,0.01455,0.295,0.225,0.245,0.235
122,5.805,0.365,0.545,0.6105769230769231,0.38,5.761741071505187,0.81,26.0,0.013850000000000001,0.29,0.24,0.25,0.22
123,5.97,0.355,0.48,0.5733333333333334,0.38,5.80339285720415,0.96,17.0,0.013549999999999998,0.295,0.255,0.275,0.175
124,5.61,0.385,0.54,0.5466666666666666,0.38,5.764714285763321,1.02,21.0,0.013850000000000001,0.25,0.28,0.26,0.21
125,5.625,0.385,0.525,0.5278969957081545,0.4,5.736771428610657,1.1,20.0,0.014100000000000001,0.32,0.185,0.245,0.25
126,6.24,0.31999999999999995,0.56,0.5210727969348659,0.35,5.837417142888525,1.25,24.0,0.0147,0.255,0.2,0.315,0.23
127,5.7,0.38,0.5,0.47509578544061304,0.33,5.809933714310821,1.37,32.0,0.01465,0.245,0.245,0.29,0.22
128,5.985,0.35,0.515,0.5439330543933054,0.36,5.844946971448657,1.09,41.0,0.014000000000000002,0.28,0.19,0.31,0.22
129,6.3,0.32499999999999996,0.45,0.5625,0.34,5.935957577158925,1.05,34.0,0.014150000000000001,0.28,0.205,0.275,0.24
130,6.03,0.355,0.42,0.5375,0.35,5.954766061727141,1.11,29.0,0.014199999999999999,0.255,0.24,0.31,0.195
131,6.255,0.32499999999999996,0.495,0.574468085106383,0.34,6.014812849381713,1.0,26.0,0.0131,0.255,0.22,0.33,0.195
132,6.04,0.345,0.51,0.6179245283018868,0.39,6.01985027950537,0.81,33.0,0.013550000000000001,0.27,0.21,0.215,0.305
133,6.0,0.35,0.5,0.6403940886699507,0.37,6.015880223604297,0.73,18.0,0.013550000000000001,0.3,0.24,0.26,0.2
134,5.85,0.365,0.5,0.6827956989247311,0.43,5.982704178883437,0.59,22.0,0.013600000000000001,0.215,0.27,0.28,0.235
135,4.965,0.44999999999999996,0.535,0.6358381502890174,0.47,5.77916334310675,0.63,10.0,0.014600000000000002,0.26,0.235,0.285,0.22
136,6.315,0.31000000000000005,0.585,0.6634615384615384,0.35,5.8863306744854,0.7,18.0,0.013999999999999999,0.28,0.2,0.27,0.25
137,5.665,0.385,0.485,0.5885167464114832,0.38,5.84206453958832,0.86,13.0,0.014150000000000001,0.245,0.23,0.32,0.205
138,6.305,0.31499999999999995,0.545,0.5956521739130435,0.33,5.934651631670656,0.93,11.0,0.013850000000000001,0.27,0.255,0.24,0.235
139,6.45,0.30000000000000004,0.55,0.5957446808510638,0.32,6.037721305336525,0.95,23.0,0.0137,0.265,0.285,0.25,0.2
140,6.475,0.30000000000000004,0.525,0.5785123966942148,0.34,6.125177044269221,1.02,23.0,0.013749999999999998,0.265,0.24,0.245,0.25
141,6.06,0.345,0.49,0.5390946502057613,0.32,6.112141635415378,1.12,21.0,0.014149999999999998,0.24,0.26,0.26,0.24
142,6.265,0.32499999999999996,0.485,0.5973451327433629,0.43,6.142713308332302,0.91,35.0,0.013600000000000001,0.25,0.255,0.245,0.25
143,5.815,0.37,0.485,0.5806451612903226,0.42,6.077170646665841,0.91,28.0,0.012650000000000002,0.29,0.26,0.25,0.2
